Comune,Regione,Media Incidenti,Media Feriti,Media Morti,Media Superficie(Kmq),Media Popolazione,Incidenti_Pro_Capite_1000,Lesività_Pro_Capite_1000,Densità_Incidenti_Kmq
Airole,Liguria,1.6363636363636365,2.727272727272727,0.09090909090909091,14.626800000000001,374.3636363636364,4.3710539096648855,7.527926177756192,0.1118743427382364
Airuno,Lombardia,4.181818181818182,5.2727272727272725,0.0,4.285936363636363,2838.0,1.47350887308604,1.8579024921519636,0.975707016393999
Aisone,Piemonte,0.9090909090909091,1.4545454545454546,0.0,36.9173,224.9090909090909,4.042037186742118,6.4672594987873895,0.02462506491782739
Ala,Trentino-Alto Adige/Südtirol,16.363636363636363,26.636363636363637,0.36363636363636365,119.85496363636365,8813.636363636364,1.85662712738525,3.0634347601856624,0.1365286498545287
Ala di Stura,Piemonte,0.45454545454545453,0.5454545454545454,0.0,46.33153636363637,458.45454545454544,0.9914733293674401,1.1897679952409281,0.00981071404535179
Alagna,Lombardia,0.8181818181818182,1.7272727272727273,0.0,8.3442,824.1818181818181,0.9927200529450697,2.095742333995147,0.09805395582342444
Alagna Valsesia,Piemonte,0.2,0.1,0.2,102.60465000000002,571.0,0.3502626970227671,0.5253940455341507,0.0019492293965234517
Alanno,Abruzzo,4.0,7.818181818181818,0.2727272727272727,32.5275,3428.090909090909,1.1668301996870774,2.3601792675488613,0.12297286911075243
Alano di Piave,Veneto,4.4,6.6,0.0,36.521,2749.7,1.6001745644979455,2.400261846746918,0.12047862873415296
Alassio,Liguria,60.27272727272727,74.0,0.8181818181818182,17.2504,10452.727272727272,5.76622021221082,7.1577665680988005,3.4939901261841624
Alatri,Lazio,55.18181818181818,93.18181818181819,1.2727272727272727,96.95733636363637,27954.727272727272,1.97397090100227,3.3788398124239842,0.5691350469330136
Alba,Piemonte,71.0909090909091,92.72727272727273,0.9090909090909091,53.585263636363635,31289.18181818182,2.2720603403441793,2.992611445721873,1.3266876799065688
Alba Adriatica,Abruzzo,51.45454545454545,78.63636363636364,0.45454545454545453,9.574581818181818,12580.90909090909,4.089890888069947,6.286581400390202,5.374077576613837
Albagiara,Sardegna,0.3,0.4,0.0,8.87195,251.6,1.1923688394276628,1.589825119236884,0.033814437637723384
Albairate,Lombardia,17.09090909090909,27.818181818181817,0.45454545454545453,14.981736363636365,4693.636363636364,3.6412938214216535,6.023629672670927,1.140782929032986
Albanella,Campania,7.909090909090909,12.818181818181818,0.2727272727272727,40.230236363636365,6358.181818181818,1.2439233628824706,2.0589076351158138,0.19659568583195905
Albano Laziale,Lazio,77.18181818181819,101.9090909090909,0.5454545454545454,23.81187272727273,39961.63636363636,1.931397840656266,2.563822575288117,3.241316593021205
Albano Sant'Alessandro,Lombardia,19.272727272727273,25.454545454545453,0.9090909090909091,5.352836363636364,8243.727272727272,2.337865705053981,3.1980238418191242,3.600470099114828
Albano Vercellese,Piemonte,1.0,1.1818181818181819,0.18181818181818182,13.780581818181817,316.3636363636364,3.160919540229885,4.310344827586206,0.07256587662217719
